City,Latitude,Longitude,Total_Cases,Recoveries,Deaths
Attock,33.766,72.3609,1637,1504,35
Bahawalnagar,30.0025,73.2412,2279,2139,29
Bahawalpur,29.3544,71.6911,10021,9630,268
Bhakkar,31.6082,71.0854,2782,2604,52
Chakwal,32.9328,72.863,1869,1754,5
Chiniot,31.7292,72.9822,2724,2554,71
Dera Ghazi Khan,30.0489,70.6455,5138,4829,204
Faislabad,31.4504,73.135,26257,24739,1274
Gujranwala,32.1877,74.1945,10238,9504,611
Gujrat,32.5731,74.1005,7978,7769,115
Hafizabad,32.0712,73.6895,2374,2254,25
Jhang,31.2781,72.3317,3739,3690,26
Jhelum,32.9425,73.7257,2855,2689,58
Kasur,31.1179,74.4408,2969,2839,18
Khanewal,30.2864,71.932,2873,2749,7
Khushab,32.2955,72.3489,2581,2439,78
Lahore,31.5204,74.3587,222246,214325,5076
Layyah,30.9693,70.9428,2189,2054,17
Lodhran,29.5467,71.6276,1805,1654,33
Mandi Bahauddin,32.5742,73.4828,2371,2239,22
Mianwali,32.5839,71.537,2999,2719,137
Multan,30.1575,71.5249,22313,21199,897
Muzaffargarh,30.0736,71.1805,3049,2504,394
Nankana Sahib,31.4492,73.7125,2855,2704,23
Narowal,32.1014,74.88,1099,1054,3
Okara,30.8138,73.4534,4000,3839,41
Pakpattan,30.3573,73.3827,2496,2304,22
Rajanpur,29.1044,70.3301,1467,1324,7
Rawalpindi,33.5651,73.0169,38527,36313,2046
Rahim Yar Khan,28.4212,70.2989,8094,7729,290
Sahiwal,30.6682,73.1114,4395,4139,107
Sargodha,32.074,72.6861,11052,10539,364
Sheikhupura,31.7167,73.985,4915,4594,171
Sialkot,32.4945,74.5229,8742,8354,247
Toba Tek Singh,30.9709,72.4826,4369,4085,137
Vehari,30.0442,72.3441,3201,3071,16
